,Value
Total Return,-0.03360083149136894
Sharpe,-2.979978506709135
Sortino,-3.9214502204480985
Calmar,-0.6562778210595077
Max Drawdown,-0.05119909650020338
Win Rate,0.2857142857142857
Profit Factor,0.348261308649245
Avg Trade Duration (min),5750.714285714285
Total Trades,14.0
