open,high,low,close,volume,ret_1,ret_5,ema_20,ema_50,ema_diff,volatility_20,volatility_100,hl_range,volume_z,sentiment_pressure,future_price,basis,delta_proxy,gamma_proxy,vega_proxy,theta_proxy
293.29998779296875,293.29998779296875,293.0899963378906,293.0899963378906,122093.0,-0.0007841639867200989,-0.00020466505148530878,293.0920656390579,293.2899643689708,-0.19789872991287893,0.00046801835451884424,0.0005028565867343754,0.0007164743174517462,1.2928306806631684,0.0009262799795088201,293.1193053375244,9.999999999993452e-05,-0.19789872991287893,0.007944139276730766,-3.483823221553113e-05,-0.00046801835451884424
293.0799865722656,293.20001220703125,293.0,293.1499938964844,25759.0,0.00020470694784324728,0.00017054859067822115,293.0975826159557,293.2844753308341,-0.18689271487841097,0.0004551305070804557,0.0004984382355907252,0.0006822862397939442,-0.6004340193132552,-0.00040966786928160536,293.17930889587404,0.00010000000000007042,-0.18689271487841097,0.011006015034467964,-4.330772851026955e-05,-0.0004551305070804557
293.20001220703125,293.29998779296875,293.1300048828125,293.2699890136719,22863.0,0.00040933010297061756,0.00030696616460512693,293.114002272881,293.283907239965,-0.16990496708399405,0.0004131323469028677,0.000500270100160494,0.0005796123590004486,-0.6666464745261257,-0.00038639653571942016,293.29931601257323,9.999999999995441e-05,-0.16990496708399405,0.01698774779441692,-8.713775325762629e-05,-0.0004131323469028677
293.2699890136719,293.4100036621094,293.2300109863281,293.3299865722656,23578.0,0.0002045813101965166,0.00034094595434219777,293.1345722061558,293.28571427260425,-0.15114206644847172,0.00038845663598035683,0.0005006676287934932,0.000613618395734343,-0.663004562736434,-0.0004068317961508802,293.3593195709228,9.999999999989644e-05,-0.15114206644847172,0.018762900635522328,-0.00011221099281313635,-0.00038845663598035683
293.42999267578125,293.5899963378906,293.3399963378906,293.45001220703125,37559.0,0.00040918296887482164,0.0004432185993668014,293.1646141110011,293.2921573288563,-0.1275432178552478,0.0003933761237788251,0.0005016370589508564,0.000851933854491112,-0.3932130826670464,-0.0003349915371528691,293.47935720825194,9.999999999995661e-05,-0.1275432178552478,0.02359884859322392,-0.00010826093517203134,-0.0003933761237788251
293.489990234375,293.6000061035156,293.44000244140625,293.57000732421875,51196.0,0.000408911610822571,0.0016377597063215177,293.20322298845036,293.30305340710584,-0.09983041865547193,0.00038832405823457597,0.000502006377639035,0.0005450272783917838,-0.13082457574740514,-7.130296246636799e-05,293.5993643249512,0.00010000000000003439,-0.09983041865547193,0.027712799199775873,-0.00011368231940445903,-0.00038832405823457597
293.5400085449219,293.6000061035156,293.5,293.6000061035156,16594.0,0.00010218611761581009,0.0015350919884042913,293.24101185655184,293.3146986108866,-0.07368675433474436,0.00037832244497215846,0.0005021150145447146,0.00034062023650083126,-0.7945327422191019,-0.00027063393056232446,293.62936610412595,9.999999999990862e-05,-0.07368675433474436,0.026143664320727567,-0.00012379256957255618,-0.00037832244497215846
293.6000061035156,293.6000061035156,293.4200134277344,293.5199890136719,52000.0,-0.00027253776628166637,0.0008524568123755571,293.2675811096109,293.3227492149174,-0.05516810530650673,0.00038632950804025785,0.0005022519101980519,0.0006132211860121939,-0.09153090063622668,-5.61286874449112e-05,293.5493410125732,9.999999999993307e-05,-0.05516810530650673,0.018518649028237633,-0.00011592240215779406,-0.00038632950804025785
293.5199890136719,293.54998779296875,293.3800048828125,293.4800109863281,26615.0,-0.00013620206064357543,0.000511452701497106,293.28781252644114,293.328916343208,-0.04110381676684938,0.00037632409437678626,0.0005004949172908978,0.0005791975732349578,-0.6122511619276673,-0.00035461438719878806,293.50935898742676,0.00010000000000002448,-0.04110381676684938,0.014064288539657355,-0.00012417082291411158,-0.00037632409437678626
293.4800109863281,293.5,293.3599853515625,293.3800048828125,36538.0,-0.00034075950583323245,-0.0002385664382571484,293.2965927508575,293.3309198153494,-0.03432706449189027,0.00036288093029470384,0.0004999846196241531,0.0004772467315672292,-0.40993536925199325,-0.000195640315129319,293.4093428833008,9.999999999999784e-05,-0.03432706449189027,0.006776752274959108,-0.00013710368932944923,-0.00036288093029470384
293.510009765625,293.5199890136719,293.3099975585937,293.42999267578125,36099.0,0.00017038582090389554,-0.00047693785108937625,293.30929750561216,293.3348050255624,-0.025507519950224378,0.000360599218385667,0.0005000917833550678,0.0007156441410889005,-0.392666754653066,-0.00028100966236785943,293.4593356750488,9.999999999992313e-05,-0.025507519950224378,0.008819544541665891,-0.0001394925649694008,-0.000360599218385667
293.4200134277344,293.4200134277344,293.2200012207031,293.3299865722656,9577.0,-0.0003408175919703549,-0.0009196850328224704,293.3112678929125,293.33461606660956,-0.023348173697058883,0.0003721338764152115,0.0004964089647661133,0.0006818675764060501,-0.925134823890711,-0.0006308194402151971,293.3593195709228,9.999999999989644e-05,-0.023348173697058883,0.002159346253165495,-0.00012427508835090182,-0.0003721338764152115
293.32000732421875,293.3900146484375,293.1700134277344,293.260009765625,23733.0,-0.00023856001719546605,-0.0008857292783380766,293.3063861665041,293.3316903293161,-0.025304162811949027,0.00034720792564239036,0.0004966899276358612,0.0007501916844337255,-0.6198316042423209,-0.000464992515251805,293.28933576660154,9.999999999991999e-05,-0.025304162811949027,-0.0019559891148901443,-0.0001494820019934708,-0.00034720792564239036
