index,Datetime,Close,High,Low,Open,Volume
,,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
0,2025-11-17 03:45:00+00:00,293.45001220703125,293.45001220703125,293.0299987792969,293.0299987792969,0
1,2025-11-17 03:50:00+00:00,293.5,293.67999267578125,293.45001220703125,293.489990234375,116548
2,2025-11-17 03:55:00+00:00,293.70001220703125,293.82000732421875,293.5,293.5,101238
3,2025-11-17 04:00:00+00:00,293.70001220703125,293.8999938964844,293.70001220703125,293.7099914550781,86687
4,2025-11-17 04:05:00+00:00,293.6700134277344,293.8399963378906,293.55999755859375,293.6499938964844,131685
5,2025-11-17 04:10:00+00:00,293.75,293.7900085449219,293.6000061035156,293.6700134277344,54423
6,2025-11-17 04:15:00+00:00,293.6400146484375,293.79998779296875,293.510009765625,293.75,48134
7,2025-11-17 04:20:00+00:00,293.6400146484375,293.75,293.5299987792969,293.6400146484375,54498
8,2025-11-17 04:25:00+00:00,293.7099914550781,293.8900146484375,293.6300048828125,293.7200012207031,48905
9,2025-11-17 04:30:00+00:00,293.5799865722656,293.8500061035156,293.5400085449219,293.760009765625,76958
10,2025-11-17 04:35:00+00:00,293.4599914550781,293.7799987792969,293.42999267578125,293.5899963378906,88474
11,2025-11-17 04:40:00+00:00,293.5,293.5400085449219,293.3999938964844,293.4599914550781,48003
12,2025-11-17 04:45:00+00:00,293.70001220703125,293.70001220703125,293.489990234375,293.5,37293
13,2025-11-17 04:50:00+00:00,293.739990234375,293.79998779296875,293.6099853515625,293.70001220703125,38643
14,2025-11-17 04:55:00+00:00,293.3900146484375,293.7300109863281,293.3900146484375,293.7200012207031,47791
15,2025-11-17 05:00:00+00:00,293.3999938964844,293.5799865722656,293.3999938964844,293.4800109863281,140178
16,2025-11-17 05:05:00+00:00,293.3999938964844,293.5899963378906,293.3900146484375,293.3999938964844,102505
17,2025-11-17 05:10:00+00:00,293.3399963378906,293.4800109863281,293.2300109863281,293.3999938964844,94974
18,2025-11-17 05:15:00+00:00,293.5199890136719,293.54998779296875,293.3399963378906,293.44000244140625,56751
19,2025-11-17 05:20:00+00:00,293.4599914550781,293.55999755859375,293.3299865722656,293.5,96207
20,2025-11-17 05:25:00+00:00,293.6199951171875,293.6199951171875,293.3999938964844,293.3999938964844,39854
21,2025-11-17 05:30:00+00:00,293.7099914550781,293.7200012207031,293.5299987792969,293.6199951171875,61333
22,2025-11-17 05:35:00+00:00,293.6099853515625,293.70001220703125,293.5,293.70001220703125,90521
23,2025-11-17 05:40:00+00:00,293.6700134277344,293.70001220703125,293.6099853515625,293.70001220703125,51894
24,2025-11-17 05:45:00+00:00,293.45001220703125,293.69000244140625,293.42999267578125,293.6700134277344,30334
25,2025-11-17 05:50:00+00:00,293.4700012207031,293.54998779296875,293.3999938964844,293.45001220703125,33900
26,2025-11-17 05:55:00+00:00,293.3299865722656,293.54998779296875,293.17999267578125,293.5400085449219,40922
27,2025-11-17 06:00:00+00:00,293.42999267578125,293.44000244140625,293.1700134277344,293.3299865722656,42253
28,2025-11-17 06:05:00+00:00,293.3599853515625,293.5400085449219,293.1400146484375,293.44000244140625,308941
29,2025-11-17 06:10:00+00:00,293.5,293.5,293.29998779296875,293.3599853515625,26513
30,2025-11-17 06:15:00+00:00,293.57000732421875,293.57000732421875,293.3299865722656,293.5,33689
31,2025-11-17 06:20:00+00:00,293.7900085449219,293.79998779296875,293.5,293.57000732421875,242038
32,2025-11-17 06:25:00+00:00,293.79998779296875,293.79998779296875,293.6700134277344,293.760009765625,39280
33,2025-11-17 06:30:00+00:00,293.6000061035156,293.8500061035156,293.6000061035156,293.79998779296875,40417
34,2025-11-17 06:35:00+00:00,293.8599853515625,293.8800048828125,293.5899963378906,293.6300048828125,63906
35,2025-11-17 06:40:00+00:00,293.79998779296875,293.8699951171875,293.69000244140625,293.739990234375,30396
36,2025-11-17 06:45:00+00:00,293.69000244140625,293.8900146484375,293.6099853515625,293.8399963378906,85639
37,2025-11-17 06:50:00+00:00,293.8599853515625,293.8599853515625,293.70001220703125,293.8500061035156,62153
38,2025-11-17 06:55:00+00:00,293.79998779296875,293.8599853515625,293.70001220703125,293.8599853515625,48779
39,2025-11-17 07:00:00+00:00,293.739990234375,293.8500061035156,293.70001220703125,293.8500061035156,27495
40,2025-11-17 07:05:00+00:00,293.8800048828125,293.8999938964844,293.760009765625,293.79998779296875,60644
41,2025-11-17 07:10:00+00:00,293.8900146484375,293.8999938964844,293.8599853515625,293.8900146484375,23997
42,2025-11-17 07:15:00+00:00,293.8999938964844,293.9800109863281,293.8699951171875,293.8999938964844,32823
43,2025-11-17 07:20:00+00:00,293.9599914550781,293.9800109863281,293.8699951171875,293.9800109863281,23931
44,2025-11-17 07:25:00+00:00,293.95001220703125,293.9599914550781,293.9200134277344,293.95001220703125,9918
45,2025-11-17 07:30:00+00:00,293.9200134277344,293.9599914550781,293.9100036621094,293.9599914550781,23994
46,2025-11-17 07:35:00+00:00,293.79998779296875,293.9200134277344,293.7200012207031,293.9100036621094,75448
47,2025-11-17 07:40:00+00:00,293.7900085449219,293.8399963378906,293.7200012207031,293.79998779296875,25284
48,2025-11-17 07:45:00+00:00,293.8699951171875,293.8800048828125,293.7300109863281,293.7900085449219,22835
49,2025-11-17 07:50:00+00:00,293.79998779296875,293.8800048828125,293.70001220703125,293.8800048828125,13145
