Datetime,open,high,low,close,volume
2025-11-17 03:45:00+00:00,293.0299987792969,293.45001220703125,293.0299987792969,293.45001220703125,0
2025-11-17 03:50:00+00:00,293.489990234375,293.67999267578125,293.45001220703125,293.5,116548
2025-11-17 03:55:00+00:00,293.5,293.82000732421875,293.5,293.70001220703125,101238
2025-11-17 04:00:00+00:00,293.7099914550781,293.8999938964844,293.70001220703125,293.70001220703125,86687
2025-11-17 04:05:00+00:00,293.6499938964844,293.8399963378906,293.55999755859375,293.6700134277344,131685
2025-11-17 04:10:00+00:00,293.6700134277344,293.7900085449219,293.6000061035156,293.75,54423
2025-11-17 04:15:00+00:00,293.75,293.79998779296875,293.510009765625,293.6400146484375,48134
2025-11-17 04:20:00+00:00,293.6400146484375,293.75,293.5299987792969,293.6400146484375,54498
2025-11-17 04:25:00+00:00,293.7200012207031,293.8900146484375,293.6300048828125,293.7099914550781,48905
2025-11-17 04:30:00+00:00,293.760009765625,293.8500061035156,293.5400085449219,293.5799865722656,76958
2025-11-17 04:35:00+00:00,293.5899963378906,293.7799987792969,293.42999267578125,293.4599914550781,88474
2025-11-17 04:40:00+00:00,293.4599914550781,293.5400085449219,293.3999938964844,293.5,48003
2025-11-17 04:45:00+00:00,293.5,293.70001220703125,293.489990234375,293.70001220703125,37293
2025-11-17 04:50:00+00:00,293.70001220703125,293.79998779296875,293.6099853515625,293.739990234375,38643
2025-11-17 04:55:00+00:00,293.7200012207031,293.7300109863281,293.3900146484375,293.3900146484375,47791
2025-11-17 05:00:00+00:00,293.4800109863281,293.5799865722656,293.3999938964844,293.3999938964844,140178
2025-11-17 05:05:00+00:00,293.3999938964844,293.5899963378906,293.3900146484375,293.3999938964844,102505
2025-11-17 05:10:00+00:00,293.3999938964844,293.4800109863281,293.2300109863281,293.3399963378906,94974
2025-11-17 05:15:00+00:00,293.44000244140625,293.54998779296875,293.3399963378906,293.5199890136719,56751
2025-11-17 05:20:00+00:00,293.5,293.55999755859375,293.3299865722656,293.4599914550781,96207
2025-11-17 05:25:00+00:00,293.3999938964844,293.6199951171875,293.3999938964844,293.6199951171875,39854
2025-11-17 05:30:00+00:00,293.6199951171875,293.7200012207031,293.5299987792969,293.7099914550781,61333
2025-11-17 05:35:00+00:00,293.70001220703125,293.70001220703125,293.5,293.6099853515625,90521
2025-11-17 05:40:00+00:00,293.70001220703125,293.70001220703125,293.6099853515625,293.6700134277344,51894
